丢	丟
争	爭
仭	仞
倂	併
侶	侣
俣	俁
俞	兪
俱	倶
值	値
偷	偸
偽	僞
兑	兌
兎	兔
兖	兗
册	冊
净	凈
凣	凢
刄	刃
删	刪
别	別
券	劵
刹	剎
剏	剙
剥	剝
劔	劒
匀	勻
即	卽
巻	卷
叁	参
叄	參
吕	呂
呑	吞
吴	吳
呉	吳
呐	吶
告	吿
唧	喞
喻	喩
嘘	噓
嚔	嚏
圏	圈
圎	圓
圗	圖
坙	巠
埓	埒
塈	墍
填	塡
増	增
夀	壽
敻	夐
奥	奧
奬	獎
妍	姸
姗	姍
娯	娛
娱	娛
媫	婕
媮	婾
媪	媼
媯	嬀
嬷	嬤
孶	孳
宫	宮
寛	寬
寜	寧
専	專
尓	尔
尚	尙
尫	尪
尶	尷
屏	屛
峥	崢
巔	巓
帡	帲
并	幷
廄	廏
弑	弒
录	彔
彚	彙
彛	彜
彞	彝
彦	彥
恵	惠
悦	悅
悮	悞
惪	悳
愠	慍
慎	愼
戬	戩
戯	戱
户	戶
戸	戶
戻	戾
抛	拋
抜	拔
捝	挩
挿	插
揷	插
揑	捏
捜	搜
掲	揭
摇	搖
揾	搵
教	敎
敚	敓
既	旣
昻	昂
晩	晚
暨	曁
柺	枴
查	査
栅	柵
棁	梲
榆	楡
概	槪
榅	榲
榝	樧
槙	槇
横	橫
歩	步
歳	歲
殁	歿
毁	毀
毎	每
氲	氳
没	沒
浄	淨
渉	涉
涚	涗
涙	淚
渌	淥
清	淸
渇	渴
温	溫
溈	潙
溉	漑
滚	滾
濳	潛
瀬	瀨
為	爲
焭	煢
熙	煕
煴	熅
瓶	甁
産	產
痩	瘦
皡	皥
真	眞
衆	眾
研	硏
禄	祿
秃	禿
税	稅
筝	箏
箳	簈
簒	篡
粤	粵
絶	絕
緑	綠
緒	緖
縁	緣
緼	縕
翶	翺
胼	腁
脱	脫
腽	膃
舃	舄
舎	舍
舗	舖
葘	菑
蒀	蒕
蒍	蔿
蕰	薀
藴	蘊
虚	虛
蜕	蛻
衮	袞
訮	詽
説	說
豜	豣
赱	走
軿	輧
輺	輜
輼	轀
迖	达
迸	逬
邢	郉
郎	郞
鄉	鄕
郷	鄕
醖	醞
鈃	銒
鋭	銳
録	錄
鎮	鎭
閲	閱
青	靑
静	靜
靱	靭
頽	頹
顔	顏
顛	顚
飲	飮
餅	餠
馱	駄
駢	騈
骩	骫
髪	髮
鬬	鬭
鰛	鰮
鳯	鳳
鷏	鷆
麫	麪
麽	麼
黄	黃
偼	倢
勊	勀
噑	嘷
廽	廻
挣	掙
暭	曍
湼	涅
潨	潀
濲	瀔
獔	獋
蓘	蔉
蜖	蛔
逥	迴
釼	釰
