㐂	㐂󠄀
丈	丈󠄁
与	与󠄁
丙	丙󠄀
並	並󠄀
丰	丰󠄀
丹	丹󠄀
主	主󠄀
乳	乳󠄁
亡	亡󠄁
交	交󠄁
今	今󠄀
伴	伴󠄁
住	住󠄀
你	你󠄀
佳	佳󠄀
使	使󠄁
侮	侮︀
侵	侵󠄁
便	便󠄁
値	値󠄀
倦	倦󠄁
偉	偉󠄁
偏	偏󠄁
偖	偖󠄀
健	健󠄁
傅	傅󠄀
傑	傑󠄂
僅	僅󠄁
僊	僊󠄁
像	像󠄀
僧	僧︀
僧	僧󠄁
僲	僲󠄁
儲	儲󠄁
兆	兆󠄀
兎	兎󠄁
兔	兔󠄁
全	全󠄁
八	八󠄀
公	公󠄁
具	具󠄀
兼	兼󠄁
冉	冉󠄁
再	再󠄀
冕	冕󠄁
冕	冕󠄂
冤	冤󠄀
冬	冬󠄀
冴	冴󠄂
凋	凋󠄁
凛	凛󠄀
凞	凞󠄂
凡	凡󠄁
函	函󠄀
刃	刃󠄁
分	分󠄁
判	判󠄁
券	券󠄁
削	削󠄁
前	前󠄁
剤	剤󠄁
剱	剱󠄀
割	割󠄂
創	創󠄀
劍	劍󠄀
勇	勇󠄁
勉	勉︀
勉	勉󠄀
勗	勗󠄁
勝	勝󠄁
勢	勢󠄀
勤	勤󠄁
勺	勺󠄀
匀	匀󠄀
包	包󠄁
匇	匇󠄀
匕	匕󠄀
化	化󠄁
匹	匹󠄁
匿	匿󠄁
半	半󠄁
卑	卑︀
卑	卑󠄀
博	博󠄁
卥	卥󠄁
危	危󠄀
卸	卸󠄀
卿	卿󠄂
厩	厩󠄂
叉	叉󠄀
及	及󠄁
収	収󠄀
受	受󠄁
叛	叛󠄁
叟	叟󠄁
叠	叠󠄁
叱	叱󠄀
史	史󠄁
吏	吏󠄁
吸	吸󠄁
呀	呀󠄀
呈	呈󠄁
周	周󠄀
咬	咬󠄀
咲	咲󠄁
哨	哨󠄁
唐	唐󠄁
唳	唳󠄂
唹	唹󠄀
啄	啄󠄁
商	商󠄁
啓	啓󠄁
啡	啡󠄁
善	善󠄀
喜	喜󠄀
喩	喩󠄀
喫	喫󠄂
喰	喰󠄁
嗤	嗤󠄂
嘅	嘅󠄁
嘆	嘆︀
嘆	嘆󠄀
嘉	嘉󠄀
嘲	嘲󠄁
噂	噂󠄁
噌	噌󠄁
器	器︀
器	器󠄁
噴	噴󠄀
噸	噸󠄀
嚥	嚥󠄀
嚮	嚮󠄁
囀	囀󠄁
囁	囁󠄀
囎	囎󠄀
囮	囮󠄁
圍	圍󠄁
均	均󠄀
坪	坪󠄁
城	城󠄀
埖	埖󠄁
埴	埴󠄀
堋	堋󠄁
堙	堙󠄁
堵	堵󠄁
堽	堽󠄁
塀	塀︀
塀	塀󠄁
塘	塘󠄁
塙	塙󠄀
塚	塚󠄂
墜	墜󠄁
墨	墨︀
墨	墨󠄀
墫	墫󠄀
夆	夆󠄁
夛	夛󠄀
大	大󠄀
奏	奏󠄀
契	契󠄂
奓	奓󠄁
奠	奠󠄀
奢	奢󠄀
女	女󠄀
妄	妄󠄁
妥	妥󠄁
姉	姉󠄀
姚	姚󠄀
姬	姬󠄁
姿	姿󠄁
娜	娜󠄁
娩	娩󠄁
娶	娶󠄀
婦	婦󠄁
媛	媛󠄁
媾	媾󠄁
嫂	嫂󠄁
嫌	嫌󠄁
嫚	嫚󠄁
孚	孚󠄀
孳	孳󠄁
孼	孼󠄀
害	害󠄃
宵	宵󠄁
寃	寃󠄀
寒	寒󠄁
寛	寛󠄀
寧	寧󠄀
寨	寨󠄀
将	将󠄀
尊	尊󠄂
尋	尋󠄁
導	導󠄁
小	小󠄀
尨	尨󠄁
屑	屑󠄁
屠	屠󠄁
層	層︀
層	層󠄁
屮	屮︀
屮	屮󠄀
崩	崩󠄁
嶲	嶲󠄁
巉	巉󠄀
巌	巌󠄀
巓	巓󠄀
巡	巡󠄁
工	工󠄀
巨	巨󠄁
巷	巷󠄁
巽	巽󠄀
帆	帆󠄁
帝	帝󠄁
帰	帰󠄀
帽	帽󠄁
幃	幃󠄀
幔	幔󠄁
幣	幣󠄁
平	平󠄁
幾	幾󠄀
庖	庖󠄁
座	座󠄀
庭	庭󠄁
廉	廉󠄀
廊	廊︀
廊	廊󠄂
廋	廋󠄀
廏	廏󠄀
廐	廐󠄁
廟	廟󠄁
廠	廠󠄁
廣	廣󠄀
延	延󠄁
廷	廷󠄁
建	建󠄁
廻	廻󠄀
弊	弊󠄁
弭	弭󠄁
弱	弱󠄁
弸	弸󠄁
彅	彅󠄀
彐	彐󠄀
形	形󠄀
彩	彩󠄁
彫	彫󠄁
往	往󠄁
徘	徘󠄀
御	御󠄀
微	微󠄀
徵	徵󠄀
徽	徽󠄁
忍	忍󠄁
忘	忘󠄁
忙	忙󠄁
忝	忝󠄁
急	急󠄁
恢	恢󠄂
恥	恥󠄀
恵	恵󠄀
悔	悔︀
悔	悔󠄀
悗	悗󠄀
悞	悞󠄁
悤	悤󠄀
悲	悲󠄀
情	情󠄁
惘	惘󠄀
愈	愈󠄁
愉	愉󠄁
意	意󠄁
愽	愽󠄀
慈	慈󠄁
慌	慌󠄁
慢	慢󠄁
慧	慧󠄁
慨	慨︀
慨	慨󠄁
憎	憎︀
憎	憎󠄀
憐	憐󠄁
憤	憤󠄀
憲	憲󠄁
懲	懲󠄂
懸	懸󠄀
懾	懾󠄀
成	成󠄁
戻	戻󠄀
房	房󠄁
所	所󠄁
扁	扁󠄁
扇	扇󠄁
扈	扈󠄁
扉	扉󠄁
扨	扨󠄀
扱	扱󠄁
抱	抱󠄁
拌	拌󠄀
拏	拏󠄀
拐	拐󠄁
拒	拒󠄁
拔	拔󠄁
拳	拳󠄁
拷	拷󠄁
挺	挺󠄀
挽	挽󠄁
捌	捌󠄀
捗	捗󠄁
捧	捧󠄀
捨	捨󠄁
捩	捩󠄁
据	据󠄀
捲	捲󠄁
掃	掃󠄁
授	授󠄁
排	排󠄀
採	採󠄁
控	控󠄀
揃	揃󠄁
揆	揆󠄀
援	援󠄁
搆	搆󠄁
搏	搏󠄀
搜	搜󠄁
搨	搨󠄁
摂	摂󠄀
摩	摩󠄁
摯	摯󠄀
摺	摺󠄁
撰	撰󠄁
擢	擢󠄁
擲	擲󠄀
擶	擶󠄁
攝	攝󠄀
敏	敏︀
敏	敏󠄀
敝	敝󠄀
敞	敞󠄀
敢	敢󠄀
敷	敷󠄁
斃	斃󠄀
文	文󠄁
斉	斉󠄁
斎	斎󠄁
斐	斐󠄁
斜	斜󠄁
斧	斧󠄀
於	於󠄀
旅	旅󠄁
旟	旟󠄁
旡	旡󠄀
既	既︀
既	既󠄀
明	明󠄁
晟	晟󠄁
晦	晦󠄁
晧	晧󠄀
晩	晩󠄀
普	普󠄀
晴	晴︀
晴	晴󠄀
晷	晷󠄀
暁	暁󠄀
暑	暑︀
暑	暑󠄁
暖	暖󠄁
暗	暗󠄁
暵	暵󠄀
曁	曁󠄀
曙	曙󠄁
曜	曜󠄁
更	更󠄁
曵	曵󠄀
書	書󠄁
曻	曻󠄀
曼	曼󠄁
最	最󠄁
月	月󠄁
有	有󠄀
朋	朋󠄁
服	服󠄁
朕	朕󠄂
朗	朗󠄃
望	望󠄂
朝	朝󠄁
期	期󠄁
杓	杓󠄁
杖	杖󠄀
杞	杞󠄀
条	条󠄁
松	松󠄁
枦	枦󠄁
枩	枩󠄀
柄	柄󠄀
柊	柊󠄁
柔	柔󠄀
柧	柧󠄀
柱	柱󠄀
栁	栁󠄀
栂	栂󠄀
栓	栓󠄁
栟	栟󠄁
校	校󠄁
桃	桃󠄀
桒	桒󠄀
桝	桝󠄂
桺	桺󠄀
梁	梁󠄀
梅	梅︀
梅	梅󠄀
梍	梍󠄀
梗	梗󠄀
梛	梛󠄁
條	條󠄀
梢	梢󠄁
棈	棈󠄀
棚	棚󠄁
植	植󠄀
椰	椰󠄀
椽	椽󠄀
楞	楞󠄁
楢	楢󠄁
楫	楫󠄀
楯	楯󠄀
概	概󠄃
榊	榊󠄁
榔	榔󠄁
榧	榧󠄀
榻	榻󠄁
槁	槁󠄀
構	構󠄁
槌	槌󠄁
槙	槙󠄁
