丈	丈󠄁
与	与󠄁
乳	乳󠄁
亡	亡󠄁
交	交󠄁
伴	伴󠄁
使	使󠄁
侮	侮󠄁
侵	侵󠄁
便	便󠄁
偉	偉󠄁
偏	偏󠄁
健	健󠄁
傑	傑󠄂
僊	僊󠄁
僧	僧󠄁
僭	僭󠄀
僲	僲󠄁
免	免󠄁	v
兔	兔󠄀	v
全	全󠄁
八	八󠄀
公	公󠄁
兼	兼󠄁
冉	冉󠄁
再	再󠄀
冒	冒󠄁
冤	冤󠄀	v<
冬	冬󠄀
冴	冴󠄂
凋	凋󠄁
凡	凡󠄁
刃	刃󠄁
分	分󠄁
判	判󠄁
券	券󠄁
削	削󠄁
前	前󠄁
剤	剤󠄁
割	割󠄂
勇	勇󠄁
勉	勉󠄀
勗	勗󠄁
勝	勝󠄁
勤	勤󠄁
勺	勺󠄀
包	包󠄁
化	化󠄁
匹	匹󠄁
匿	匿󠄁
區	區󠄁
半	半󠄁
卑	卑󠄀
博	博󠄁
卥	卥󠄁
厩	厩󠄂
叉	叉󠄀
及	及󠄁
受	受󠄁
史	史󠄁
吏	吏󠄁
吸	吸󠄁
呀	呀󠄀
呈	呈󠄁
周	周󠄀
咬	咬󠄀
唐	唐󠄁
唳	唳󠄂
啄	啄󠄁
商	商󠄁
啓	啓󠄁
喝	喝󠄁
喩	喩󠄂
喫	喫󠄂
喰	喰󠄁
嗤	嗤󠄂
嘅	嘅󠄁
嘆	嘆󠄀
嘉	嘉󠄀
器	器󠄁
嚮	嚮󠄁
囮	囮󠄁
坪	坪󠄁
城	城󠄀
埖	埖󠄁
堋	堋󠄁
堙	堙󠄁
堽	堽󠄁
塀	塀󠄁
塘	塘󠄁
塚	塚󠄂
墜	墜󠄁
墨	墨󠄀
契	契󠄂
奓	奓󠄁
妄	妄󠄁
妥	妥󠄁
姬	姬󠄁
姿	姿󠄁
娜	娜󠄁
婦	婦󠄁
媛	媛󠄁
媾	媾󠄁
嫂	嫂󠄁
嫌	嫌󠄁
嫚	嫚󠄁
害	害󠄃
宵	宵󠄁
寒	寒󠄁
寧	寧󠄀
寨	寨󠄀
将	将󠄀
尊	尊󠄂
尋	尋󠄁
導	導󠄁
尨	尨󠄁
屑	屑󠄁
層	層󠄁
屮	屮󠄀
崩	崩󠄁
嵎	嵎󠄁
嶇	嶇󠄁
巡	巡󠄁
巨	巨󠄁
巽	巽󠄀
帆	帆󠄁
帝	帝󠄁
帽	帽󠄁
幔	幔󠄁
幣	幣󠄁
平	平󠄁
庭	庭󠄁
廉	廉󠄀
廊	廊󠄂
廐	廐󠄁
廟	廟󠄁
廠	廠󠄁
延	延󠄁
廷	廷󠄁
建	建󠄁
廻	廻󠄀
弊	弊󠄁
弭	弭󠄁
弱	弱󠄁
弸	弸󠄁
彩	彩󠄁
彫	彫󠄁
往	往󠄁
徘	徘󠄀
忍	忍󠄁
忘	忘󠄁
忙	忙󠄁
忝	忝󠄁
急	急󠄁
恐	恐󠄁
悔	悔󠄀
悗	悗󠄁	v
情	情󠄁
愉	愉󠄁
意	意󠄁
慈	慈󠄁
慌	慌󠄁
慢	慢󠄁
慧	慧󠄁
慨	慨󠄁
憎	憎󠄀
憐	憐󠄁
憲	憲󠄁
懲	懲󠄂
成	成󠄁
房	房󠄁
所	所󠄁
扇	扇󠄁
扈	扈󠄁
扉	扉󠄁
扱	扱󠄁
抱	抱󠄁
拐	拐󠄁
拒	拒󠄁
拳	拳󠄁
拷	拷󠄁
挺	挺󠄀
捨	捨󠄁
捩	捩󠄁
掃	掃󠄁
授	授󠄁
採	採󠄁
援	援󠄁
搆	搆󠄁
搜	搜󠄁
搨	搨󠄁
摩	摩󠄁
摯	摯󠄀
擶	擶󠄁
敏	敏󠄀
敷	敷󠄁
文	文󠄁
斉	斉󠄁
斎	斎󠄁
斧	斧󠄀
旟	旟󠄁
明	明󠄁
晚	晩󠄀	v
晟	晟󠄁
晴	晴󠄀
暑	暑󠄁
暖	暖󠄁
暗	暗󠄁
暵	暵󠄀
曁	曁󠄀
曙	曙󠄁
曜	曜󠄁
更	更󠄁
書	書󠄁
曼	曼󠄁
最	最󠄁
月	月󠄁
朋	朋󠄁
服	服󠄁
朕	朕󠄂
朗	朗󠄃
