滑	滑
龜	龜
懶	懶
癩	癩
羅	羅
蘿	蘿
螺	螺
裸	裸
邏	邏
樂	樂
烙	烙
亂	亂
爛	爛
鸞	鸞
襤	襤
拉	拉
臘	臘
廊	廊
朗	朗
浪	浪
狼	狼
郎	郎
冷	冷
勞	勞
爐	爐
老	老
露	露
碌	碌
祿	祿
綠	綠
菉	菉
錄	錄
鹿	鹿
論	論
壟	壟
籠	籠
聾	聾
牢	牢
雷	雷
屢	屢
樓	樓
淚	淚
漏	漏
累	累
縷	縷
肋	肋
凌	凌
稜	稜
綾	綾
菱	菱
陵	陵
讀	讀
拏	拏
諾	諾
怒	怒
率	率
北	北
復	復
數	數
索	索
塞	塞
說 	說
掠	掠
亮	亮
凉	凉
梁	梁
糧	糧
良	良
諒	諒
女	女
廬	廬
旅	旅
驪	驪
麗	麗
轢	轢
憐	憐
戀	戀
撚	撚
漣	漣
煉	煉
璉	璉
練	練
聯	聯
輦	輦
蓮	蓮
連	連
裂	裂
廉	廉
念	念
捻	捻
簾	簾
令	令
囹	囹
寧	寧
嶺	嶺
怜	怜
玲	玲
瑩	瑩
羚	羚
聆	聆
鈴	鈴
零	零
靈	靈
領	領
禮	禮
寮	寮
料	料
樂	樂
燎	燎
療	療
蓼	蓼
遼	遼
龍	龍
流	流
溜	溜
琉	琉
硫	硫
紐	紐
類	類
六	六
戮	戮
慄	慄
履	履
李	李
梨	梨
泥	泥
痢	痢
罹	罹
裏	裏
裡	裡
溺	溺
吝	吝
燐	燐
璘	璘
藺	藺
隣	隣
鱗	鱗
麟	麟
立	立
笠	笠
粒	粒
炙	炙
識	識
度	度
糖	糖
宅	宅
洞	洞
廓	廓
