𬺽	㐂
𠪨	㕓
𠬍	㕙
䎛	㖈
㦳	㘽
𡎲	㙜
𪦅	㛴
𡤎	㜶
𡬶	㝷
𡭪	㝸
𥚋	㞊
𡉚	㞷
𡶨	㟁
𪩙	㠚
𢎼	㢭
𢳌	㨾
攑	㩮
𢼨	㩻
𢼮	㩻
𢺾	㪆
𢼕	㪆
𣂚	㪿
𣏈	㭃
𣚓	㯞
𣪝	㲄
浻	㴄
𤈎	㶷
𦻐	㷹
𤡙	㺑
𤢷	㺤
𤬳	㼦
蕤	㽔
䃱	䃸
𥬺	䇦
𥮚	䈀
𦢙	䑎
𧆲	䖒
𮓱	䖝
䘂	䘋
𧚎	䙄
龻	䜌
𨡞	䤄
𨣲	䤘
𨨿	䤹
𩣙	䮢
𩰘	䰗
䱎	䱍
𮬹	䳟
𡤞	䶯
𣢧	䶾
丢	丟
𫝄	久
𠂰	乕
𢁺	乕
𠄣	亙
𠓛	亼
𫝆	今
仭	仞
𠇞	伎
𪜬	余
𪜱	余
𪜩	佝
侣	侶
俣	俁
併	倂
𫝉	倉
𠉀	候
𠋣	倚
偼	倢
值	値
俱	倶
偷	偸
𠋏	傊
𩑭	傾
偽	僞
兊	兌
兑	兌
兎	兔
兖	兗
俞	兪
𠔃	兮
𠔏	共
册	冊
𠳲	冔
净	凈
凢	凡
凣	凡
𠙽	凷
刄	刃
𠛬	刑
别	別
删	刪
刹	剎
剏	剙
剥	剝
劔	劒
𠠤	劖
𠠥	劖
㓛	功
𠡍	劲
勊	勀
𠡳	勔
𠢀	勤
𠢄	勤
匀	勻
匄	匃
𭅅	匈
𠥆	匩
㔺	卋
𠦔	卋
𤰞	卑
𠦢	協
𠀄	卫
巻	卷
巹	卺
即	卽
𤓾	受
𠮉	叡
呑	吞
𭇅	吱
吴	吳
呉	吳
𠯵	吳
呐	吶
告	吿
吕	呂
㕼	哅
𫪾	唴
𠸝	啑
啓	啟
𫪓	喕
𠺇	喜
唧	喞
喻	喩
𠦤	單
𠫹	單
𠹫	嗇
𫪻	嗤
𭒕	嘙
嘷	噑
嘘	噓
𠾖	器
嚔	嚏
𡃰	嚱
𫝝	嚴
𡅛	嚵
𡅕	囍
冏	囧
𡆾	囧
𭍛	囧
圏	圈
圎	圓
圗	圖
圡	土
𡈽	土
𡊹	垔
𡍑	埊
埓	埒
𦰌	堇
𡍷	堩
𫝔	堯
𭏕	塌
填	塡
𡎖	塤
塈	墍
増	增
𫮰	墻
𡉟	壯
夀	壽
夛	多
𡖈	多
𢑑	多
𦴋	夢
𢎯	夷
𫯠	奉
奂	奐
𭁗	奠
奥	奧
𡚱	妃
𡛇	妓
𪥩	妓
姗	姍
妍	姸
娯	娛
娱	娛
𡝘	娽
𡝤	婁
媫	婕
媮	婾
𡞎	媔
𫱇	媜
𡠌	媲
媪	媼
媯	嬀
嬷	嬤
𡣳	孅
𡤼	孑
孳	孶
宫	宮
𡨘	寃
𡨚	寃
寜	寧
寛	寬
専	專
専	專
𫴰	對
尓	尔
尚	尙
尫	尪
𡯓	尬
𠒖	尭
𡰁	尰
𡰅	尳
尶	尷
𫝲	尻
屏	屛
𭕙	屛
𡵨	岐
𡵲	岐
𡷊	岛
𫝍	岡
峥	崢
𡾟	巇
巔	巓
坙	巠
𢁉	巽
㠶	帆
帡	帲
𢂸	帶
𢃄	帶
并	幷
𭎎	幸
𪜊	广
𢇮	庋
𢇭	应
𢈏	庚
𢊁	廌
廄	廏
𢋨	廛
廽	廻
弑	弒
𢎞	弘
𢏏	弥
录	彔
彚	彙
𢑥	彙
彛	彜
彞	彝
彦	彥
徴	徵
徳	德
𢘚	忱
𫝹	念
恒	恆
𢘆	恆
悦	悅
悮	悞
惪	悳
恵	惠
恵	惠
𢚾	愌
𭐫	愛
𢝾	愮
慎	愼
𫺼	慆
愠	慍
𢠊	慘
𢣗	懡
𫻡	懷
懴	懺
戬	戩
戯	戱
户	戶
戸	戶
戻	戾
𢩾	执
𠄘	承
𢪩	投
抛	拋
抜	拔
捝	挩
揑	捏
㨗	捷
𪮓	捹
